category,Frequency,Proportion
Vegan,daily,0.34
Vegan,weekly,0.47
Vegan,monthly,0.17
Vegan,less_often,0.02
Vegan,never,0
Vegan,do_not_know,0
Vegetarian,daily,0.25
Vegetarian,weekly,0.44
Vegetarian,monthly,0.09
Vegetarian,less_often,0.05
Vegetarian,never,0.14
Vegetarian,do_not_know,0.03
Pescatarian,daily,0.18
Pescatarian,weekly,0.47
Pescatarian,monthly,0.15
Pescatarian,less_often,0.09
Pescatarian,never,0.1
Pescatarian,do_not_know,0.01
Flexitarian,daily,0.07
Flexitarian,weekly,0.23
Flexitarian,monthly,0.21
Flexitarian,less_often,0.2
Flexitarian,never,0.25
Flexitarian,do_not_know,0.04
Meat-eater,daily,0.03
Meat-eater,weekly,0.08
Meat-eater,monthly,0.11
Meat-eater,less_often,0.2
Meat-eater,never,0.52
Meat-eater,do_not_know,0.06
